artist_id;artist_surname;artist_name;date_of_birth;place_of_birth;country_of_birth;date_of_death ;place_of_death;country_of_death 
Q2828943;Acarin;Marguerite;1904;Sint-Joost-ten-Node;Belgium;1999;Elsene;Belgium
Q21344629;Aldernaght;Maria;1902;Antwerp;Belgium;1991;Antwerp;Belgium
Q3416072;Baes;Rachel;1912;Elsene;Belgium;1983;Bruges;Belgium
Q2058289;Beernaert;Euphrosine;1831;Ostend;Belgium;1901;Elsene;Belgium
Q447789;Bergman;Anna-Eva;1909;Stockholm;Sweden;1987;Grasse;France
Q443779;Blanchard;Maria;1881;Santander;Spain;1932;Paris;France
Q466668;Boch;Anna;1848;Saint-Vaast;Belgium;1936;Elsene;Belgium
Q21637181;Bomhals;Suzanne;1905;Ghent;Belgium;2000;null;null
Q241732;Bonheur;Rosa;1822;Bordeaux;Belgium;1899;Thomery;France
Q274121;Bonnet;Anne;1908;Brussels;Belgium;1960;Brussels;Belgium
Q123384880;Bouvy;Anaïs;1830;Bruges;Belgium;null;null;null
Q123384982;Brown Napaltjarri;Debbie;null;Nyirripi;Australia;null;null;null
Q82573963;Brown Napangati;Mary;1953;null;Australia;null;null;null
Q1074555;Caffi;Margherita;1650;Milan;Italy;1710;Milan;Italy
Q6557303;Cambier;Juliette;1879;Saint-Gilles;Belgium;1963;Brussels;Belgium
Q3292419;Carlier;Marie;1920;Antwerp;Belgium;1986;Brussels;Belgium
Q18562298;Cauterman;Cecile;1882;Ghent;Belgium;1957;Ghent;Belgium
Q3724632;Ciardi;Emma;1879;Venice;Italy;1933;Venice;Italy
Q21645086;Cocq;Suzanne;1894;Elsene;Belgium;1979;Etterbeek;Belgium
Q21345058;Collart-Henrotin;Marie;1842;Brussels;Belgium;1911;Nebida;Italy
Q2228950;de Pélichy;Gertrude Cornélie Marie;1743;Utrecht;The Netherlands;1925;Bruges;Belgium
Q21848563;Currey Brown;Frances;1925;Indianapolis;United States;2012;Clearwater;United States
Q1847672;De Bièvre;Marie;1865;Sint-Joost-ten-Node;Belgium;null;Elsene;Belgium
Q123385039;de Fays;Marie;1944;null;Belgium;null;null;null
Q21645446;de Gamond;Elisa;1804;Brussels;Belgium;1869;Elsene;Belgium
Q21345080;De Jans;Louisa;1905;null;null;1905;null;null
Q21396068;de Latour-Simons;Marie;1750;Brussels;Belgium;1834;Brussels;Belgium
Q21646338;de Miszewska;Hèléne;1876;Ghent;Belgium;1969;Ghent;Belgium
Q55770682;De Paepe-Casier;Marie;1893;Nivelles;Belgium;1943;Katanga;Democratic Republic of Congo
Q21646542;De Reuse;Hèléne;1892;Wachtebeke;Belgium;1979;Mariakerke;Belgium
Q21638620;De Senezcourt;Aline;1822;Brussels;Belgium;1900;Brussels;Belgium
Q1821051;De Weert;Anna;1867;Ghent;Belgium;1950;Ghent;Belgium
Q109989170;Delvaux;Marie;null;null;null;null;null;null
Q3560732;Demont-Breton;Virginie;1859;Courrières;France;1935;Paris;Belgium
Q3061395;Devaux-Antoine;Evelyne;1935;Namen;Belgium;1972;Zwijnaarde;Belgium
Q206524;Donas;Marthe;1885;Antwerp;Belgium;1967;Audregnies;Belgium
Q17625500;Douard;Cécile;1866;Rouen;France;1941;Brussels;Belgium
Q2213493;Drumaux;Angelina;1881;Bouillon;Belgium;1959;Brussels;Belgium
Q55768888;Eggermont;Angèle;1878;null;null;1958;null;null
Q55769874;Evrard;Paula;1876;null;Belgium;1927;null;null
Q4725866;Frey;Alice;1895;Antwerp ;Belgium;1981;Ostend;Belgium
Q2067274;Geefs;Fanny;1807;Brussels;Belgium;1883;Schaarbeek;Belgium
Q110843653;Germeau;Fanny;1911;Herstal;Belgium;2011;Liège;Belgium
Q3161866;Graverol;Jane;1904;Elsene;Belgium;1984;Fontainebleau;France
Q16222716;Guillain;Marthe;1890;Charleroi;Belgium;1974;Watermaal-Bosvoorde;Belgium
Q123385090;Guillaume;Georgette;1911;Anderlecht;Belgium;1996;Walcourt;Belgium
Q16663047;Haar;Marie-Paule;1940;Anderlecht;Belgium;null;null;null
Q21176693;Hebbelynck;Jeanne;1891;Ghent;Belgium;1959;Ghent;Belgium
Q16217145;Héger;Louise;1839;Brussels;Belgium;1933;Ixelles;Belgium
Q275813;Howet;Marie;1897;Libramont;Belgium;1984;Rochehaut;Belgium
Q3303023;Iserentant;Mayou;1903;Liège;Belgium;1978;Vaux-le-Pénil;France 
Q21645620;Jacquart;Lucie;1882;Etterbeek;Belgium;1956;Ghent;Belgium
Q5402192;Keane;Margaret;1927;Nashville;United States;2022;Napa;United States
Q21645662;Keelhoff;Alice;1896;Ghent;Belgium;1983;Ghent;Belgium
Q2655791;Kernkamp;Anna;1868;Antwerp;Belgium;1947;Antwerp;Belgium
Q123385104;Kinard;Patricia;1949;Brussels;Belgium;null;null;null
Q2825435;Kindt;Adèle;1799;Brussels;Belgium;1893;Brussels;Belgium
Q21645677;Kindt;Laurence;1805;Brussels;Belgium;1863;Charleroi;Belgium
Q21498465;Laridon;Louise;1868;Liège;Belgium;1943;Antwerp;Belgium
Q233088;Laurencin;Marie;1883;Paris;France;1956;Paris;France
Q123387855;Ligy;R.J.;null;null;null;null;null;null
Q123388132;Magritte;Aline;1898;null;Belgium;1963;null;Belgium
Q18603503;Marcotte;Marie-Antoinette;1867;Troyes;France;1929;Paris;France
Q123388492;Mareschal;Simone;1932;Herstal;Belgium;null;null;null
Q123388859;Mathus;Jacqueline;1920;Petegem-aan-de-Leie;Belgium;null;null;null
Q463270;Mayer;Constance;1774;Chauny;France;1821;Paris;France
Q4967957;Montalba;Clara;1840;Cheltenham;United Kingdom;1929;Venice;Italy
Q2120094;Montigny;Jenny;1875;Ghent;Belgium;1937;Deurle;Belgium
Q4970064;Nordlander;Anna;1843;Skelleftea;Sweden;1879;Harnosand;Sweden
Q52148627;Otten-Rosier;Berthe;1885;Vaux-sous-Chèvremont;Belgium;1973;Vaux-sous-Chèvremont;Belgium
Q21646420;Paelinck;Fanny;1805;null;null;1887;Brussels;Belgium
Q21395972;Laur;Marie Yvonne;1879;Paris;France;1944;Ravensbrück;Germany
Q4967957;Montalba;Clara;1840;Cheltenham;United Kingdom;1929;Venice;Italy
Q265398;Peeters;Clara;1594;Antwerp;Belgium;1657;Antwerp;Belgium
Q2413750;Prax;Valentine;1897;Annaba;Algeria;1981;Paris;France
Q3290724;Putsage;Marguerite;1868;Bergen;Belgium;1946;Brussels;Belgium
Q107476022;Reychler;Rita;1933;Eeklo;Belgium;2020;Eeklo;Belgium
Q21396042;Riedel;Helene;1901;Opava;Czech Republic;1991;Brussels;Belgium
Q51077280;Rimbout;Germaine;1894;Sint-Joost-ten-Node;Belgium;1973;Herbeumont;Belgium
Q21638499;Rommelaere;Dora;1902;Bruges;Belgium;1986;Hamme;Belgium
Q2836650;Ronner;Alice;1857;Brussels;Belgium;1957;Elsene;Belgium
Q454470;Ronner;Henriette;1821;Amsterdam;Pay-bas;1909;Brussels;Belgium
Q3491037;Rude-Fremiet;Sophie;1797;Dijon;France;1867;Paris;France
Q234385;Ruysch;Rachel;1664;The Hague;The Netherlands;1750;Amsterdam;The Netherlands
Q123385175;Schulte;Lilli;1904;Essen;Germany;null;null;null
Q457001;Schwartze;Thérèse;1851;Amsterdam;The Netherlands;1918;Amsterdam;The Netherlands
Q42161824;Segers;Maria;1922;Antwerp;Belgium;1979;Antwerp;Belgium
Q21638679;Singer;Henriette;1898;Sint-Joost-ten-Node;Belgium;1985;Anderlecht;Belgium
Q12157356;Staritsky;Anna Georgievna;1906;Poltava;Ukraine;1981;Paris;France
Q21696861;Sterckmans;Marie;1883;null;null;null;null;null
Q21638774;Thienpont;Suzanne;1905;Sint-Maria-Hodebeke;Belgium;2003;Ronse;Belgium
Q51230345;Turner;Laura;1983;London;United Kingdom;null;null;null
Q17350987;Van Damme;Suzanne;1901;Ghent;Belgium;1986;Elsene;Belgium
Q52155301;van den Broeck;Clémence;1843;Sint-Jans-Molenbeek;Belgium;1922;Ukkel;Belgium
Q269445;van Hemessen;Catharina;1528;Antwerp;Belgium;1565;Antwerp;Belgium
Q5387392;van Leckwyck;Edith;1899;Antwerp;Belgium;1987;Amsterdam;The Netherlands
Q41272959;van Veen;Geertrui;1602;Antwerp;Belgium;1643;Antwerp;Belgium
Q2943734;Vanderbeek;Cecilia;1932;Mortsel;Belgium;1999;Wilrijk;Belgium
Q2064550;Verboeckhoven;Marguerite;1865;Schaarbeek;Belgium;1949;Elsene;Belgium
Q213163;Vigée-Le Brun;Elisabeth;1755;Paris;France;1842;Paris;Belgium
Q21645417;von finck;Adèle;1879;Buenos Aires;Argentinia;1943;Berlin;Germany
Q21638953;Warris;Gaby;1922;Utrecht;The Netherlands;2013;Bruges;Belgium
Q1930132;Wautier;Michaelina;1604;Mons;Belgium;1689;Mons;Belgium
Q2066460;Wéry;Marthe;1930;Etterbeek;Belgium;2005;Brussels;Belgium
Q2645730;Willaert-Fontan;Valentine;1882;Gers;France;1939;Ghent;Belgium
Q27050344;Willeboordse;Marie;1902;Rotterdam;The Netherlands;1989;Leidschendam;The Netherlands
Q50414269;Wils;Lydia;1924;Antwerp;Belgium;1982;Etterbeek;Belgium
Q21646924;Wulffaert;Clara;1812;Ghent;Belgium;1867;Namur;Belgium
Q3189783;Wytsman-Trullemans;Juliette;1866;Brussels;Belgium;1925;Brussels;Belgium
